epoch,iou_score,loss,val_iou_score,val_loss
0,0.12312504649162292,0.5866208672523499,0.09243850409984589,2.288963556289673
1,0.1229267418384552,0.39408254623413086,0.1324475258588791,0.48807957768440247
2,0.13440226018428802,0.3313907980918884,0.13200119137763977,0.3151719570159912
3,0.13822604715824127,0.29960936307907104,0.11458267271518707,0.5096778869628906
4,0.14942529797554016,0.27548345923423767,0.128681018948555,0.3043498396873474
5,0.15715980529785156,0.25863394141197205,0.12630689144134521,0.6369900703430176
6,0.17186284065246582,0.24502664804458618,0.13527536392211914,0.26801371574401855
7,0.18019655346870422,0.2361389398574829,0.16836611926555634,0.25968581438064575
8,0.18700864911079407,0.23096585273742676,0.1261572241783142,0.47526195645332336
9,0.19934824109077454,0.22661860287189484,0.12407240271568298,0.3019537329673767
10,0.209675133228302,0.22009092569351196,0.15434233844280243,0.2193620204925537
11,0.21462427079677582,0.2164325714111328,0.16908897459506989,0.2340390533208847
12,0.22345981001853943,0.20987851917743683,0.17432698607444763,0.22339749336242676
13,0.2268577516078949,0.20846830308437347,0.17139595746994019,0.2098424732685089
14,0.23422643542289734,0.20710203051567078,0.19230696558952332,0.26741644740104675
15,0.2387411743402481,0.20742623507976532,0.1671791970729828,0.23966999351978302
16,0.25030213594436646,0.2025035172700882,0.18504568934440613,0.21800337731838226
17,0.25015729665756226,0.19050613045692444,0.17957240343093872,0.22799134254455566
18,0.26139211654663086,0.18971684575080872,0.1803782731294632,0.2596556842327118
19,0.2639615535736084,0.1891743391752243,0.20242604613304138,0.21877720952033997
20,0.26495951414108276,0.1887115091085434,0.17176413536071777,0.23570266366004944
21,0.2554289400577545,0.19581158459186554,0.16646243631839752,0.4095448851585388
22,0.27441075444221497,0.18774613738059998,0.19500994682312012,0.2083575576543808
23,0.2770196795463562,0.18258912861347198,0.20078574120998383,0.22306950390338898
24,0.28296980261802673,0.17983902990818024,0.20624184608459473,0.21092230081558228
25,0.29318535327911377,0.17923933267593384,0.19694006443023682,0.2109944075345993
26,0.2987142503261566,0.17109385132789612,0.20616686344146729,0.204833984375
27,0.30077099800109863,0.164628267288208,0.19093813002109528,0.21938073635101318
28,0.31034955382347107,0.17050619423389435,0.1941017508506775,0.22937162220478058
29,0.31663328409194946,0.16590942442417145,0.2051614373922348,0.2292916476726532
30,0.2806876003742218,0.19606754183769226,0.14993774890899658,0.46230795979499817
31,0.3058314323425293,0.1743682473897934,0.1997627466917038,0.18821144104003906
32,0.33063629269599915,0.16769737005233765,0.2071506530046463,0.2268035113811493
33,0.33117547631263733,0.16156579554080963,0.2058490365743637,0.211111918091774
34,0.3417409360408783,0.15930643677711487,0.2061002105474472,0.21698983013629913
35,0.34307506680488586,0.15392492711544037,0.20026187598705292,0.2088644653558731
36,0.34824851155281067,0.15252719819545746,0.22270585596561432,0.2270398736000061
37,0.34968703985214233,0.15020906925201416,0.18630573153495789,0.22646361589431763
38,0.36177635192871094,0.15321820974349976,0.1768983006477356,0.3321538269519806
39,0.36695337295532227,0.14961619675159454,0.20709016919136047,0.2147437185049057
40,0.36645981669425964,0.14573101699352264,0.20902182161808014,0.19956058263778687
41,0.36408501863479614,0.14953309297561646,0.2261742651462555,0.24211552739143372
42,0.3791821300983429,0.14743384718894958,0.21296723186969757,0.20564886927604675
43,0.3850822150707245,0.14369511604309082,0.2190796285867691,0.2239045649766922
44,0.3920735716819763,0.14168818295001984,0.23316961526870728,0.23416633903980255
45,0.3980485200881958,0.1395399570465088,0.2237708419561386,0.22246457636356354
46,0.35403919219970703,0.17275644838809967,0.14446821808815002,2.0702385902404785
47,0.33090198040008545,0.17864735424518585,0.23249761760234833,0.21114188432693481
48,0.37352320551872253,0.14877960085868835,0.23418064415454865,0.21264933049678802
49,0.39635369181632996,0.13902823626995087,0.224050834774971,0.20690540969371796
50,0.41026243567466736,0.13486236333847046,0.24378083646297455,0.21181176602840424
51,0.4229297935962677,0.13127876818180084,0.23661449551582336,0.2167348861694336
52,0.4186842739582062,0.13482949137687683,0.24145637452602386,0.22852976620197296
53,0.42681294679641724,0.1315809190273285,0.24432635307312012,0.20830215513706207
54,0.4312354624271393,0.12620645761489868,0.22460898756980896,0.24016381800174713
